PeakPosition,Year,WeeksOnChart,Artists,Name,cluster
2,2009,28,Miley Cyrus,Party In The U.S.A.,2
2,2001,20,Destiny's Child,Survivor,1
2,2010,34,Iyaz,Replay,2
2,2007,40,Gwen Stefani,The Sweet Escape,1
2,2006,29,Gnarls Barkley,Crazy,4
2,2019,8,Shawn Mendes,If I Can't Have You,1
2,2019,13,Billie Eilish,Bad Guy,2
2,2001,53,Lifehouse,Hanging By A Moment,1
2,2010,18,Taylor Swift,Today Was A Fairytale,0
2,2018,22,Drake,Nonstop,2
2,2013,36,Taylor Swift,I Knew You Were Trouble.,1
2,2007,47,Timbaland,Apologize,2
2,2012,31,Maroon 5,Payphone,1
2,2007,20,Fall Out Boy,"This Ain't A Scene, It's An Arms Race",0
2,2006,30,Akon,Smack That,4
2,2012,26,Katy Perry,Wide Awake,0
2,2007,27,Fergie,Fergalicious,4
2,2018,46,Juice WRLD,Lucid Dreams,2
2,2012,57,Ellie Goulding,Lights,4
2,2009,27,Jamie Foxx,Blame It,0
2,2012,20,Justin Bieber,Boyfriend,2
2,2014,68,OneRepublic,Counting Stars,1
2,2000,32,Marc Anthony,You Sang To Me,4
2,1999,20,Ricky Martin,She's All I Ever Had,2
2,2000,37,Toni Braxton,He Wasn't Man Enough,4
2,2019,2,Taylor Swift,You Need To Calm Down,1
2,2005,27,Rihanna,Pon de Replay,4
2,2005,36,Green Day,Boulevard Of Broken Dreams,0
2,2005,23,The Game,Hate It Or Love It,2
2,2009,30,Kanye West,Heartless,4
2,2005,46,Kelly Clarkson,Since U Been Gone,1
2,2000,53,Faith Hill,Breathe,2
2,2010,25,Young Money,BedRock,4
2,2013,42,Justin Timberlake,Mirrors,2
2,2005,33,Nickelback,Photograph,0
2,2005,26,Mariah Carey,Shake It Off,1
2,2001,33,Eve,Let Me Blow Ya Mind,4
2,2001,14,Mariah Carey,Loverboy,1
2,1999,25,Jennifer Lopez,If You Had My Love,4
2,2013,21,One Direction,Best Song Ever,1
2,2005,40,The Pussycat Dolls,Don't Cha,1
2,2013,26,Miley Cyrus,We Can't Stop,1
3,2016,20,Meghan Trainor,No,1
3,2018,8,Eminem,Killshot,1
3,2003,20,Justin Timberlake,Cry Me A River,2
3,2018,27,Ariana Grande,No Tears Left To Cry,2
3,2003,20,Nelly,Air Force Ones,1
3,2009,31,Keri Hilson,Knock You Down,0
3,2018,20,6ix9ine,FEFE,1
3,2000,22,Christina Aguilera,I Turn To You,3
3,2000,28,Sisqo,Thong Song,1
3,2002,30,No Doubt,Underneath It All,4
3,2018,52,Post Malone,Better Now,2
3,2008,39,Katy Perry,Hot N Cold,4
3,2017,39,"The Chainsmokers, Coldplay",Something Just Like This,2
3,2010,33,Lady Gaga,Telephone,4
3,2001,29,Nelly,Ride Wit Me,4
3,2010,54,Train,"Hey, Soul Sister",1
3,2002,26,Usher,U Don't Have To Call,1
3,2001,34,Enrique Iglesias,Hero,0
3,2017,42,French Montana,Unforgettable,4
3,2018,23,"Bruno Mars, Cardi B",Finesse,4
3,2000,53,3 Doors Down,Kryptonite,4
3,2001,21,Jennifer Lopez,Love Don't Cost A Thing,4
3,2001,39,Dido,Thank You,1
3,2017,30,"J Balvin, Willy William",Mi Gente,2
3,2019,30,Mariah Carey,All I Want For Christmas Is You,0
3,2017,24,Lil Pump,Gucci Gang,4
3,2008,22,Britney Spears,Circus,4
3,2004,24,Nelly,Over And Over,0
3,2004,23,Destiny's Child,Lose My Breath,1
3,2011,29,Jennifer Lopez,On The Floor,1
3,2006,30,The Pussycat Dolls,Buttons,1
3,2006,58,The Fray,How To Save A Life,2
3,2008,20,David Cook,The Time Of My Life,0
3,2006,33,Hinder,Lips Of An Angel,1
3,2011,24,Lady Gaga,The Edge Of Glory,0
3,2019,19,"Cardi B, Bruno Mars",Please Me,1
3,2014,31,"Jessie J, Ariana Grande, Nicki Minaj",Bang Bang,1
3,2012,37,The Wanted,Glad You Came,0
3,2014,30,Iggy Azalea,Black Widow,0
3,2019,20,Khalid,Talk,1
3,2005,29,50 Cent,Disco Inferno,1
3,2012,62,The Lumineers,Ho Hey,3
3,2013,32,Rihanna,Stay,3
3,2008,26,"Ray J, Yung Berg",Sexy Can I,1
3,2008,30,Rihanna,Don't Stop The Music,4
3,1999,17,LFO,Summer Girls,4
3,2013,87,Imagine Dragons,Radioactive,0
3,2013,24,"will.i.am, Britney Spears",Scream & Shout,1
3,2006,20,T.I.,What You Know,2
3,2012,56,fun.,Some Nights,1
3,2006,22,Sean Paul,Give It Up To Me,4
3,2013,20,Eminem,Berzerk,4
3,2012,16,One Direction,Live While We're Young,1
3,2003,22,Kelis,Milkshake,1
3,2012,37,Flo Rida,Good Feeling,1
3,1999,20,Jessica Simpson,I Wanna Love You Forever,3
3,2011,40,Foster The People,Pumped Up Kicks,4
3,2012,29,Bruno Mars,It Will Rain,1
3,2004,20,Alicia Keys,You Don't Know My Name,0
3,2007,38,Timbaland,The Way I Are,4
3,2003,25,50 Cent,P.I.M.P.,4
3,2012,24,Katy Perry,The One That Got Away,1
3,2010,23,Taylor Swift,Mine,4
3,2008,23,Kanye West,Love Lockdown,1
3,2015,20,One Direction,Drag Me Down,1
3,1999,21,Pearl Jam,Last Kiss,4
