PeakPosition,Year,WeeksOnChart,Artists,Name,cluster,Popularity,,.WeeksOnChart
8,2002,0,P!nk,Just Like A Pill,2,66,,20
6,2013,0,Drake,Started From The Bottom,2,66,,22
1,1999,0,Destiny's Child,"Bills, Bills, Bills",2,65,,20
5,2001,0,matchbox twenty,If You're Gone,2,65,,42
9,2002,0,Shakira,Underneath Your Clothes,2,65,,20
2,2000,53,Faith Hill,Breathe,2,65,,53
4,2019,0,J. Cole,Middle Child,2,64,,23
9,2009,0,Rihanna,Russian Roulette,2,64,,14
4,2000,0,Joe,I Wanna Know,2,64,,44
5,2016,0,Selena Gomez,Same Old Love,2,64,,28
5,2005,0,The Pussycat Dolls,Stickwitu,2,63,,26
5,2010,0,Lady Gaga,Alejandro,2,63,,23
9,2004,0,Ying Yang Twins,Salt Shaker,2,62,,26
8,2007,0,Fabolous,Make Me Better,2,61,,21
9,2006,0,Chingy,Pullin' Me Back,2,61,,20
5,2015,0,Selena Gomez,Good For You,2,61,,26
9,2013,0,Lil Wayne,Love Me,2,60,,22
7,2005,0,Madonna,Hung Up,2,59,,20
7,2012,0,Alex Clare,Too Close,2,59,,44
8,2014,0,Aloe Blacc,The Man,2,59,,20
1,2005,0,Mariah Carey,Don't Forget About Us,2,58,,21
8,2004,0,Lloyd Banks,On Fire,2,58,,20
6,2004,0,Jagged Edge,Walked Outta Heaven,2,55,,27
8,2006,0,Danity Kane,Show Stopper,2,55,,20
1,2012,0,Rihanna,Diamonds,2,55,,26
6,2005,0,50 Cent,Outta Control,2,52,,19
10,2004,0,Fabolous,Breathe,2,50,,20
4,2007,0,Dixie Chicks,Not Ready To Make Nice,2,48,,24
7,2003,0,Ashanti,Rain On Me,2,47,,20
2,2003,0,R. Kelly,Ignition,2,46,,42
6,2008,76,Jason Mraz,I'm Yours,2,42,,76
9,2003,0,R. Kelly,Step In The Name Of Love,2,41,,27
1,2013,0,Lorde,Royals,2,10,,44
1,2019,0,Ariana Grande,7 Rings,3,87,,23
1,2014,59,John Legend,All Of Me,3,85,,59
