Artists,Name,Year,Weekly.rank,Week,Max.Weeks.on.chart,Genre,acousticness,danceability,energy,key,tempo,valence,cluster
Azul Azul,La Bomba,2001,70,2001-06-26,20,"Bolivia,En Espa\xc3\xb1ol,Pop",0.121674808,0.927835052,0.757421002,0.090909091,0.279359068,0.980914007,1
Tim McGraw,How I'll Always Be,2017,70,2017-01-14,12,Country,0.319016789,0.532646048,0.818065752,0.181818182,0.273327207,0.656452126,1
The Last Goodnight,Pictures Of You,2008,70,2008-01-09,18,Pop,0.168709684,0.242840779,0.808490265,0.181818182,0.980362528,0.576927155,1
Backstreet Boys,Just Want You To Know,2005,70,2005-09-14,4,Pop,0.00027268,0.682703322,0.530801149,0.181818182,0.353289462,0.639486799,1
Gorilla Zoe,Lost,2009,71,2009-03-05,11,Rap,0.016562084,0.697594502,0.540376636,0,0.538556424,0.549358499,1
Three Days Grace,Never Too Late,2007,71,2007-10-03,20,"Alternative Rock,Rock",0.008566155,0.366552119,0.768060432,0.181818182,0.623822769,0.193086629,1
Mike Jones,Next To You,2009,71,2009-04-30,10,Rap,0.331286757,0.615120275,0.741461858,0.181818182,0.208216407,0.616159474,1
Montgomery Gentry,Where I Come From,2012,71,2012-04-13,15,Country,0.011040599,0.580756014,0.846792212,0.090909091,0.254843067,0.470893861,1
Ben Folds,Bitches Ain't shit,2005,71,2005-03-30,0,"Cover,Parody,Comedy,Alternative Rock,Rock",0.009476178,0.32416953,0.718055112,0,0.729509865,0.378644894,1
Big Sean,Guap,2013,71,2013-02-01,12,Rap,0.317994292,0.615120275,0.709543568,0.090909091,0.600460099,0.552539497,1
Fall Out Boy,Alone Together,2014,71,2014-01-10,8,"Pop,Alternative,Alternative Pop,Pop-Rock,Rock",0.001326874,0.502863688,0.913820619,0.363636364,0.254688878,0.605556145,1
Drake,Fireworks,2010,71,2010-07-01,0,"Canada,Rap",0.442738964,0.500572738,0.746781573,0,0.25071081,0.524970841,1
Twista,Make A Movie,2010,71,2010-12-30,14,"R&;B,Rap",0.007686808,0.839633448,0.76380466,0.090909091,0.439709138,0.360619234,1
OK Go,I Won't Let You Down,2014,71,2014-11-14,0,Rock,0.026275809,0.735395189,0.913820619,0.181818182,0.402543497,0.705227441,1
Chase Bryant,Little Bit Of You,2016,71,2016-04-30,11,Pop,0.065335206,0.571592211,0.860623471,0.090909091,0.451797532,0.644788464,1
Lorde,Tennis Court,2013,71,2013-10-18,18,"Alternative Pop,Alternative,Downtempo,New Zealand,Art Pop,Adult Alternative,Trip-Hop,Electro-Pop,Pop",0.012881094,0.745704467,0.543568465,0,0.254534689,0.416816881,1
Depeche Mode,Precious,2005,71,2005-11-02,3,"Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Rock",0.090897639,0.521191294,0.83189701,0.090909091,0.347047903,0.866398049,1
Sugarland,Babe,2018,72,2018-05-05,2,"Country,Pop",0.019118328,0.483390607,0.766996489,0.363636364,0.75862069,0.667055455,1
Kenny Chesney,Noise,2016,72,2016-04-16,14,Country,0.009711352,0.534936999,0.790403234,0,0.377743788,0.581168487,1
Whitney Houston,One Of Those Days,2003,72,2003-01-28,19,"Rock,Pop,Soul Pop,Soul,R&;B",0.319016789,0.648339061,0.693584424,0,0.266838947,0.832467395,1
Karmin,Acapella,2013,72,2013-08-02,8,"Pop,Rap",0.128832289,0.634593356,0.598893499,0.181818182,0.747179889,0.415756548,1
Lil Baby,Out The Mud,2019,72,2019-07-06,0,"Atlanta,Trap,Rap",0.009650002,0.725085911,0.469092457,0.090909091,0.686651577,0.228077616,1
Ozuna,Unica,2018,72,2018-09-08,0,"Latin Urban,Reggaeton,Latin Pop,Latin Music,En Espa\xc3\xb1ol,Pop",0.216767058,0.618556701,0.854239813,0,0.772917065,0.711589439,1
Fall Out Boy,Immortals,2015,72,2015-03-20,8,"Disney,Electronic Rock,Electro-Pop,Punk Rock,Pop-Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Punk,Pop,Rock",0.001337099,0.575028637,0.863815299,0.181818182,0.365729405,0.466652529,1
Big Time Rush,Boyfriend,2011,72,2011-05-05,11,"Boy Band,West Coast,Dance-Pop,Electro-Pop,Teen Pop,Pop",0.100918113,0.573883162,0.852111927,0.090909091,0.711907684,0.680839784,1
Mindless Behavior,Mrs. Right,2011,72,2011-11-03,10,Rap,0.058279975,0.373424971,0.741461858,0,0.287537237,0.533453504,1
Korn,Here To Stay,2002,72,2002-05-28,12,"Metal,Hard Rock,Alternative Metal,Nu-Metal,Rock",5.61351E-06,0.516609393,0.947866794,0.181818182,0.316296511,0.335171244,1
Rae Sremmurd,Look Alive,2016,72,2016-12-10,6,"Trap,Rap",0.056439479,0.770904926,0.560591552,0,0.439783149,0.205810625,1
Seether,Country Song,2011,72,2011-06-02,18,"Rock,Post-Grunge,Alternative Metal",0.0011735,0.592210767,0.855303756,0,0.291478299,0.928957693,1
Ludacris,Rest Of My Life,2012,72,2012-11-23,10,"Pop,R&;B,Rap",0.012574345,0.478808706,0.876582615,0.181818182,0.488932336,0.245042943,1
Blac Youngsta,Booty,2018,73,2018-03-17,5,Rap,0.000847323,0.945017182,0.524417491,0.090909091,0.587687108,0.399851553,1
Drama,"Left, Right, Left",2000,73,2000-03-14,13,Rap,0.008525255,0.911798396,0.490371316,0.363636364,0.470768908,0.534513837,1
Three Days Grace,Break,2010,73,2010-01-07,20,"Alternative Rock,Rock",0.000678611,0.532646048,0.894669646,0,0.411825656,0.74445976,1
The Wallflowers,Sleepwalker,2000,73,2000-10-31,6,"Alternative Rock,Alternative Pop,Indie Rock,Rock",0.000710308,0.482245132,0.889349931,0.363636364,0.494119243,0.757183756,1
KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018,73,2018-06-23,0,"Rap,Alternative",0.115539824,0.833906071,0.665921907,0.181818182,0.285353925,0.321386915,1
B2K,Why I Love You,2002,73,2002-10-29,4,"R&;B,Pop",0.049281998,0.670103093,0.597829556,0,0.254491517,0.35531757,1
The Fratellis,Flathead,2007,73,2007-03-28,4,"Adult Alternative,Alternative Rock,Indie Rock,UK,Post-Punk,Rock",0.012574345,0.555555556,0.951058623,0,0.34826291,0.270490934,1
The Script,Superheroes,2014,73,2014-11-07,9,"Ireland,Pop",0.002236897,0.432989691,0.88190233,0.272727273,0.729460525,0.642667798,1
